Name,Handedness,Weight(kg),Height(cm),BMI,Batting Average,Home Runs
Stefan Wever,R,80,245,13.32778009,0,0
Dave Lemanczyk,R,76,235,13.76188321,0,0
Dave Frost,R,78,235,14.12403803,0,0
Mike Epstein,L,75,230,14.17769376,0.244,130
Boog Powell,L,76,230,14.36672968,0.266,339
Steve Renko,R,77,230,14.5557656,0.215,6
John Ellis,R,74,225,14.61728395,0.262,69
Gates Brown,L,71,220,14.66942149,0.257,84
Ben Callahan,R,79,230,14.93383743,0,0
Greg Luzinski,R,73,220,15.08264463,0.276,307
Walt Bond,L,79,228,15.19698369,0.256,41
Bryan Clutterbuck,R,76,223,15.28283295,0,0
Don Leppert,R,74,220,15.2892562,0.229,15
Rick Henninger,R,78,225,15.40740741,0,0
Bob Ferris,R,78,225,15.40740741,0,0
Bruce Tanner,L,75,220,15.49586777,0,0
Willie Aikens,L,75,220,15.49586777,0.271,110
Joe Foy,R,72,215,15.57598702,0.248,58
Willie Mueller,R,76,220,15.70247934,0,0
Johnny Edwards,L,76,220,15.70247934,0.242,81
Kevin Mmahat,L,77,220,15.90909091,0,0
Curt Wardle,L,77,220,15.90909091,0,0
Fran Healy,R,77,220,15.90909091,0.25,20
Mark Mercer,L,77,220,15.90909091,0,0
Tom Egan,R,76,218,15.99191987,0.2,22
Jeff Newman,R,74,215,16.00865333,0.224,63
Mark Smith,R,74,215,16.00865333,0,0
Lamar Johnson,R,74,215,16.00865333,0.287,64
Doc Edwards,R,74,215,16.00865333,0.238,15
Ray Fosse,R,74,215,16.00865333,0.256,61
Dave Nicholson,R,74,215,16.00865333,0.212,61
Dave Roberts,R,75,215,16.22498648,0.239,49
Charlie Spikes,R,75,215,16.22498648,0.246,65
John Mayberry,L,75,215,16.22498648,0.253,255
John Orsino,R,75,215,16.22498648,0.249,40
Brant Alyea,R,75,215,16.22498648,0.247,38
Earl Williams,R,75,215,16.22498648,0.247,138
J.R. Richard,R,80,222,16.23244866,0.168,10
Willie Horton,R,71,209,16.25420663,0.273,325
Tony Solaita,L,72,210,16.32653061,0.255,50
Tony Cloninger,R,72,210,16.32653061,0.192,11
Larry Dierker,R,76,215,16.44131963,0.136,4
Randy Nosek,R,76,215,16.44131963,0,0
Tom Paciorek,R,76,215,16.44131963,0.282,86
Cliff Johnson,R,76,215,16.44131963,0.258,196
Dave Hostetler,R,76,215,16.44131963,0.229,37
Joe Torre,R,74,212,16.46493414,0.297,252
Steve Ellsworth,R,80,220,16.52892562,0,0
Burt Hooton,R,73,210,16.55328798,0.123,4
Mark Brouhard,R,73,210,16.55328798,0.259,25
Steve Curry,R,78,217,16.56437809,0,0
Britt Burns,L,77,215,16.65765279,0,0
Tim Laudner,R,75,212,16.68743325,0.225,77
Ken Phelps,L,73,209,16.71207161,0.239,123
Wayne Gross,L,74,210,16.78004535,0.233,121
Gorman Thomas,R,74,210,16.78004535,0.225,268
Rick Anderson,R,74,210,16.78004535,0,0
Bob Brenly,R,74,210,16.78004535,0.247,91
Terry Wilshusen,R,74,210,16.78004535,0,0
Mike Jones,L,78,215,16.87398594,0,0
Ron Reed,R,78,215,16.87398594,0.158,0
Sam Hinds,R,78,215,16.87398594,0,0
Bud Anderson,R,75,210,17.00680272,0,0
Dave Engle,R,75,210,17.00680272,0.262,31
Tony Horton,R,75,210,17.00680272,0.268,76
Craig Kusick,R,75,210,17.00680272,0.235,46
John Bateman,R,75,210,17.00680272,0.23,81
Rick Reichardt,R,75,210,17.00680272,0.261,116
Jerry Moses,R,75,210,17.00680272,0.251,25
Jeff Jones,R,75,210,17.00680272,0,0
Doug Rader,R,74,208,17.10428994,0.251,155
Pat Putnam,L,72,205,17.13265913,0.255,63
Alex Johnson,R,72,205,17.13265913,0.288,78
Ken Singleton,B,76,210,17.23356009,0.282,246
Mike Loynd,R,76,210,17.23356009,0,0
Bill Moran,R,76,210,17.23356009,0,0
Bob Kammeyer,R,76,210,17.23356009,0,0
Glenn Borgmann,R,76,210,17.23356009,0.229,16
Mike Parrott,R,76,210,17.23356009,0,0
Len Gabrielson,L,76,210,17.23356009,0.253,37
Steve Carlton,L,76,210,17.23356009,0.201,13
Dave Revering,L,76,210,17.23356009,0.265,62
Al Jones,R,76,210,17.23356009,0,0
Mike Smithson,L,80,215,17.30665224,0,0
Cardell Camper,R,75,208,17.33542899,0,0
Bob Veale,B,78,212,17.35493058,0.114,0
Bob Galasso,L,73,205,17.37061273,0,0
Donn Clendenon,R,76,209,17.39886907,0.274,159
Barry Cort,R,77,210,17.46031746,0,0
Bob Babcock,R,77,210,17.46031746,0,0
John Poloni,L,77,210,17.46031746,0,0
Jeff Holly,L,77,210,17.46031746,0,0
Steve Huntz,B,73,204,17.54133026,0.206,16
Mike Ryan,R,74,205,17.60856633,0.193,28
Jerry Koosman,R,74,205,17.60856633,0.119,2
Steve Swisher,R,74,205,17.60856633,0.216,20
Larry Biittner,L,74,205,17.60856633,0.273,29
Mitchell Page,L,74,205,17.60856633,0.266,72
Wayne Nordhagen,R,74,205,17.60856633,0.282,39
Steve Senteney,R,74,205,17.60856633,0,0
John Wathan,R,74,205,17.60856633,0.262,21
Champ Summers,L,74,205,17.60856633,0.255,54
Joe Charboneau,R,74,205,17.60856633,0.266,29
Mike Willis,L,74,205,17.60856633,0,0
Dave Kingman,R,78,210,17.68707483,0.236,442
Steve Adkins,R,78,210,17.68707483,0,0
Jack Lazorko,R,71,200,17.75,0,0
Carlos May,L,71,200,17.75,0.274,90
Bob Watson,R,72,201,17.82134106,0.295,184
John Trautwein,R,75,205,17.84651993,0,0
Marc Hill,R,75,205,17.84651993,0.223,34
Ed Kranepool,L,75,205,17.84651993,0.261,118
Andy Beene,R,75,205,17.84651993,0,0
Gary Roenicke,R,75,205,17.84651993,0.247,121
Bruce Bochy,R,75,205,17.84651993,0.239,26
Andy Kosco,R,75,205,17.84651993,0.236,73
Gary Wheelock,R,75,205,17.84651993,0,0
Don Mincher,L,75,205,17.84651993,0.249,200
Mike Ivie,R,75,205,17.84651993,0.269,81
Frank Dimichele,R,75,205,17.84651993,0,0
Jerry Narron,L,75,205,17.84651993,0.211,21
Greg Walker,L,75,205,17.84651993,0.26,113
Don Kainer,R,75,205,17.84651993,0,0
Barry Foote,R,75,205,17.84651993,0.23,57
Bob Oliver,R,75,205,17.84651993,0.256,94
Jim Barr,R,75,205,17.84651993,0.162,1
Larry Pashnick,R,75,205,17.84651993,0,0
Gail Hopkins,L,70,198,17.85532089,0.266,25
Darryl Motley,R,69,196,17.96126614,0.243,44
Dick Bertell,R,72,200,18,0.25,10
Carmen Fanzone,R,72,200,18,0.224,20
Bill Fahey,L,72,200,18,0.241,7
Ron Jackson,R,72,200,18,0.259,56
Carl Morton,R,72,200,18,0.156,7
Ray Culp,R,72,200,18,0.123,1
Ron LeFlore,R,72,200,18,0.288,59
Brian Denman,R,76,205,18.08447353,0,0
Gary Beare,R,76,205,18.08447353,0,0
Bob Tillman,R,76,205,18.08447353,0.232,79
Sherman Corbett,L,76,205,18.08447353,0,0
Mike Rochford,L,76,205,18.08447353,0,0
Don Welchel,R,76,205,18.08447353,0,0
Gaylord Perry,R,76,205,18.08447353,0.131,6
Jeff Rineer,L,76,205,18.08447353,0,0
Ellis Valentine,R,76,205,18.08447353,0.278,123
Butch Edge,R,75,203,18.19990779,0,0
Bill Freehan,R,75,203,18.19990779,0.262,200
Rick Sweet,B,73,200,18.25,0.234,6
Jeff Burroughs,R,73,200,18.25,0.261,240
Andy Messersmith,R,73,200,18.25,0.17,5
Richie Zisk,R,73,200,18.25,0.287,207
Matt Williams,R,73,200,18.25,0,0
Hal King,L,73,200,18.25,0.214,24
Al Ferrara,R,73,200,18.25,0.259,51
Dan Morogiello,L,73,200,18.25,0,0
Howie Goss,R,76,204,18.26220684,0.216,11
Andy Replogle,R,77,205,18.32242713,0,0
Vance Lovelace,L,77,205,18.32242713,0,0
Fergie Jenkins,R,77,205,18.32242713,0.165,13
Joel Davis,L,77,205,18.32242713,0,0
Jim Wright,R,77,205,18.32242713,0,0
Mike Krukow,R,77,205,18.32242713,0.193,5
Clay Christiansen,R,77,205,18.32242713,0,0
George Vukovich,L,72,198,18.36547291,0.268,27
Mike Brumley,L,70,195,18.40894149,0.229,5
Darrell Evans,L,74,200,18.5,0.248,414
Dave Skaggs,R,74,200,18.5,0.241,3
Jeffrey Leonard,R,74,200,18.5,0.266,144
Steve Burke,B,74,200,18.5,0,0
Bill Melton,R,74,200,18.5,0.253,160
George Scott,R,74,200,18.5,0.268,271
Pete LaCock,L,74,200,18.5,0.257,27
Steve Cummings,B,74,200,18.5,0,0
Mickey Hatcher,R,74,200,18.5,0.28,38
Deron Johnson,R,74,200,18.5,0.244,245
Paul Boris,R,74,200,18.5,0,0
Bill Nahorodny,R,74,200,18.5,0.241,25
Carl Taylor,R,74,200,18.5,0.266,10
Bill Schroeder,R,74,200,18.5,0.24,61
Hal Breeden,R,74,200,18.5,0.243,21
Mike Anderson,R,74,200,18.5,0.246,28
Joe Rudi,R,74,200,18.5,0.264,179
Jim Rice,R,74,200,18.5,0.298,382
Dick Nen,L,74,200,18.5,0.224,21
John Leister,R,74,200,18.5,0,0
Joe Ferguson,R,74,200,18.5,0.24,122
Joe Lahoud,L,73,198,18.62054892,0.223,65
Doug Camilli,R,71,195,18.67192636,0.199,18
Tommie Agee,R,71,195,18.67192636,0.255,130
Ed Kirkpatrick,L,71,195,18.67192636,0.238,85
Mike Walters,R,77,203,18.68523866,0,0
Leron Lee,L,72,196,18.74219075,0.25,31
Bob Fallon,L,75,200,18.75,0,0
Nick Esasky,R,75,200,18.75,0.25,122
Dean Chance,R,75,200,18.75,0.066,0
Roger Miller,R,75,200,18.75,0,0
Rico Carty,R,75,200,18.75,0.299,204
Andre Thornton,R,75,200,18.75,0.254,253
Tom Buskey,R,75,200,18.75,0,0
Leon Roberts,R,75,200,18.75,0.267,78
Doug Ault,R,75,200,18.75,0.236,17
Willie Crawford,L,73,197,18.81006983,0.268,86
Terry Whitfield,L,73,197,18.81006983,0.281,33
Al Cowens,R,73,197,18.81006983,0.27,108
Johnny Bench,R,73,197,18.81006983,0.267,389
Danny Walton,R,72,195,18.93491124,0.223,28
Ralph Botting,L,72,195,18.93491124,0,0
Sal Bando,R,72,195,18.93491124,0.254,242
Glenn Burke,R,72,195,18.93491124,0.237,2
Al Oliver,L,72,195,18.93491124,0.303,219
Kevin Bell,R,72,195,18.93491124,0.222,13
Joe Hague,L,72,195,18.93491124,0.239,40
Chris Bando,B,72,195,18.93491124,0.227,27
Reggie Jackson,L,72,195,18.93491124,0.262,563
Steve Kemp,L,72,195,18.93491124,0.278,130
Mike Hargrove,L,72,195,18.93491124,0.29,80
Jeff Torborg,R,72,195,18.93491124,0.214,8
Howard Bailey,R,72,195,18.93491124,0,0
Steve Barber,L,72,195,18.93491124,0.115,5
Jim Rooker,R,72,195,18.93491124,0.201,7
Mike Jorgensen,L,72,195,18.93491124,0.243,95
Steve Garvey,R,70,192,18.98871528,0.294,272
Jim Siwy,R,76,200,19,0,0
Billy Bryan,L,76,200,19,0.216,41
Steve Barr,L,76,200,19,0,0
Mark Clear,R,76,200,19,0,0
Jaime Cocanower,R,76,200,19,0,0
Larry Monroe,R,76,200,19,0,0
Bob Forsch,R,76,200,19,0.213,12
Rick Steirer,R,76,200,19,0,0
Jason Thompson,L,76,200,19,0.261,208
Ted Simmons,B,71,193,19.06091439,0.285,248
Gary Nolan,R,74,197,19.06774202,0.138,1
Duke Sims,L,74,197,19.06774202,0.239,100
Jim Traber,L,72,194,19.13061962,0.227,27
Al Lachowicz,R,75,198,19.13070095,0,0
Jerry Ujdur,R,73,195,19.19789612,0,0
Chris Chambliss,L,73,195,19.19789612,0.279,185
Dave McKay,B,73,195,19.19789612,0.229,21
Paul Mitchell,R,73,195,19.19789612,0,0
Leroy Stanton,R,73,195,19.19789612,0.244,77
Bob Montgomery,R,73,195,19.19789612,0.258,23
Danny Goodwin,L,73,195,19.19789612,0.236,13
Dick Dietz,R,73,195,19.19789612,0.261,66
Dick Billings,R,73,195,19.19789612,0.227,16
Chuck Hockenbery,B,73,195,19.19789612,0,0
Ed Herrmann,L,73,195,19.19789612,0.24,80
Charlie James,R,73,195,19.19789612,0.255,29
Bob Horner,R,73,195,19.19789612,0.277,218
Jim Farr,R,73,195,19.19789612,0,0
Tucker Ashford,R,73,195,19.19789612,0.218,6
Richie Hebner,L,73,195,19.19789612,0.276,203
Steve Davis,L,73,195,19.19789612,0,0
Tom Seaver,R,73,195,19.19789612,0.154,12
Jerry Martin,R,73,195,19.19789612,0.251,85
John Boccabella,R,73,195,19.19789612,0.219,26
Rick Sofield,L,73,195,19.19789612,0.243,9
Sandy Wihtol,R,73,195,19.19789612,0,0
Bob Robertson,R,73,195,19.19789612,0.242,115
Russ Gibson,R,73,195,19.19789612,0.228,8
Ron Blomberg,L,73,195,19.19789612,0.293,52
Paul Hartzell,R,77,200,19.25,0,0
Jerry Reuss,L,77,200,19.25,0.167,1
Jeff Schattinger,L,77,200,19.25,0,0
Jim Lonborg,R,77,200,19.25,0.136,3
Gary Christenson,L,77,200,19.25,0,0
Steve Brown,R,77,200,19.25,0,0
Ray Burris,R,77,200,19.25,0.151,1
Pete Rose,B,71,192,19.25998264,0.303,160
Bob Chance,L,74,196,19.26280716,0.261,24
Woodie Fryman,R,75,197,19.32541421,0.138,2
Manny Sanguillen,R,72,193,19.32937797,0.296,65
Darrell Porter,L,72,193,19.32937797,0.247,188
Buck Martinez,R,70,190,19.39058172,0.225,58
Merv Rettenmund,R,70,190,19.39058172,0.271,66
Jim Fairey,L,70,190,19.39058172,0.235,7
Ed Ott,L,70,190,19.39058172,0.259,33
Floyd Rayford,R,70,190,19.39058172,0.244,38
Ozzie Osborn,R,74,195,19.460881,0,0
Kevin Bearse,L,74,195,19.460881,0,0
Larry Haney,R,74,195,19.460881,0.215,12
Don Lock,R,74,195,19.460881,0.238,122
George Mitterwald,R,74,195,19.460881,0.236,76
John Hale,L,74,195,19.460881,0.201,14
Reggie Ritter,L,74,195,19.460881,0,0
Mike Diaz,R,74,195,19.460881,0.247,31
Jeff Peterek,R,74,195,19.460881,0,0
Jim Spencer,L,74,195,19.460881,0.25,146
Pete Filson,B,74,195,19.460881,0,0
Jim Essian,R,74,195,19.460881,0.244,33
Bob Jones,L,74,195,19.460881,0.221,20
Mike Brown,R,74,195,19.460881,0.265,23
Mike Brown,R,74,195,19.460881,0,0
Lee Thomas,L,74,195,19.460881,0.255,106
Curt Blefary,L,74,195,19.460881,0.237,112
Gary Ward,R,74,195,19.460881,0.276,130
Mike Pazik,L,74,195,19.460881,0,0
Cap Peterson,R,74,195,19.460881,0.23,19
Bob Boone,R,74,195,19.460881,0.254,105
Don Wilson,R,74,195,19.460881,0.146,1
Gary Alexander,R,74,195,19.460881,0.23,55
Ivan Murrell,R,74,195,19.460881,0.236,33
Mike Schmidt,R,74,195,19.460881,0.267,548
Ron Swoboda,R,74,195,19.460881,0.242,73
Mike Young,B,74,195,19.460881,0.247,72
Bryan Kelly,R,74,195,19.460881,0,0
Dave Hilton,R,71,191,19.4621858,0.213,6
Jim Umbarger,L,78,200,19.5,0,0
Jim Price,R,72,192,19.53125,0.214,18
Bobby Valentine,R,70,189,19.59631589,0.26,12
Tom Nieto,R,73,193,19.59784155,0.205,5
Les Straker,R,73,193,19.59784155,0,0
Butch Hobson,R,73,193,19.59784155,0.248,98
Thurman Munson,R,71,190,19.66759003,0.292,113
Mike Paxton,R,71,190,19.66759003,0,0
Skip Jutze,R,71,190,19.66759003,0.215,3
Jeff Byrd,R,75,195,19.72386588,0,0
Jerry Garvin,L,75,195,19.72386588,0,0
Scot Thompson,L,75,195,19.72386588,0.262,5
Rick Rhoden,R,75,195,19.72386588,0.238,9
Dave Roberts,L,75,195,19.72386588,0.194,7
George Hendrick,R,75,195,19.72386588,0.278,267
Bob Knepper,L,75,195,19.72386588,0.137,6
Ted Cox,R,75,195,19.72386588,0.245,10
Bruce Bochte,L,75,195,19.72386588,0.282,100
Jeff Schneider,B,75,195,19.72386588,0,0
Jeff Shaver,R,75,195,19.72386588,0,0
Clint Hurdle,L,75,195,19.72386588,0.259,32
Mike Andrews,R,75,195,19.72386588,0.258,66
Bill Fulton,R,75,195,19.72386588,0,0
Jim Burton,R,75,195,19.72386588,0,0
Lee May,R,75,195,19.72386588,0.267,354
Mike Shannon,R,75,195,19.72386588,0.255,68
Gary Lance,B,75,195,19.72386588,0,0
Doug Frobel,L,76,196,19.78342357,0.201,20
Rick Joseph,R,73,192,19.80251736,0.243,13
Steve Hovley,L,70,188,19.80534178,0.258,8
Nardi Contreras,B,74,193,19.86630514,0,0
Larry Hisle,R,74,193,19.86630514,0.273,166
John Wockenfuss,R,72,190,19.94459834,0.262,86
Kevin Stanfield,L,72,190,19.94459834,0,0
Joe Azcue,R,72,190,19.94459834,0.252,50
Sal Butera,R,72,190,19.94459834,0.227,8
Ron Santo,R,72,190,19.94459834,0.277,342
Bob Didier,B,72,190,19.94459834,0.229,0
Ken Gerhart,R,72,190,19.94459834,0.221,24
Duane Josephson,R,72,190,19.94459834,0.258,23
Roger Freed,R,72,190,19.94459834,0.245,22
Mike Easler,L,72,190,19.94459834,0.293,118
Milt May,L,72,190,19.94459834,0.263,77
Chris Cannizzaro,R,72,190,19.94459834,0.235,18
Claudell Washington,L,72,190,19.94459834,0.278,164
Steve Yeager,R,72,190,19.94459834,0.228,102
Ike Brown,R,72,190,19.94459834,0.256,20
Steve Brye,R,72,190,19.94459834,0.258,30
Bob Kearney,R,72,190,19.94459834,0.233,27
Jim Sundberg,R,72,190,19.94459834,0.248,95
Bob Molinaro,L,72,190,19.94459834,0.264,14
Alan Knicely,R,72,190,19.94459834,0.213,12
Bobby Clark,R,72,190,19.94459834,0.239,19
R.J. Reynolds,B,72,190,19.94459834,0.267,35
Keith Moreland,R,72,190,19.94459834,0.279,121
Chet Lemon,R,72,190,19.94459834,0.273,215
Mel Stottlemyre,R,72,190,19.94459834,0,0
Clay Dalrymple,L,72,190,19.94459834,0.233,55
Catfish Hunter,R,72,190,19.94459834,0.226,6
Hank Allen,R,72,190,19.94459834,0.241,6
Gene Tenace,R,72,190,19.94459834,0.241,201
Jack Billingham,R,76,195,19.98685076,0.111,0
Ron Romanick,R,76,195,19.98685076,0,0
Chris Batton,R,76,195,19.98685076,0,0
Nelson Mathews,R,76,195,19.98685076,0.223,22
Terry Harper,R,76,195,19.98685076,0.253,36
Gorman Heimueller,L,76,195,19.98685076,0,0
Tom Haller,L,76,195,19.98685076,0.257,134
Bombo Rivera,R,70,187,20.01772999,0.265,10
Ed Hodge,L,74,192,20.07378472,0,0
Bobby Cuellar,R,71,188,20.08827524,0,0
Johnny Oates,L,71,188,20.08827524,0.25,14
Rick Monday,L,75,193,20.13476872,0.264,241
Vida Blue,B,72,189,20.15621063,0.104,4
Eric Wilkins,R,73,190,20.22160665,0,0
Fred Whitfield,L,73,190,20.22160665,0.253,108
Andy Etchebarren,R,73,190,20.22160665,0.235,49
Bruce Robbins,L,73,190,20.22160665,0,0
Don Baylor,R,73,190,20.22160665,0.26,338
Bert Bradley,B,73,190,20.22160665,0,0
Greg Erardi,R,73,190,20.22160665,0,0
Ned Yost,R,73,190,20.22160665,0.212,16
Johnny Briggs,L,73,190,20.22160665,0.253,139
Bill Sudakis,B,73,190,20.22160665,0.234,59
Bob Uecker,R,73,190,20.22160665,0.2,14
Mark Esser,R,73,190,20.22160665,0,0
Dave Smith,R,73,190,20.22160665,0,0
Craig Chamberlain,R,73,190,20.22160665,0,0
Roy Howell,L,73,190,20.22160665,0.261,80
Terry Francona,L,73,190,20.22160665,0.274,16
Joe Gaines,R,73,190,20.22160665,0.241,21
Jim Fregosi,R,73,190,20.22160665,0.265,151
Bobby Bonds,R,73,190,20.22160665,0.268,332
Butch Wynegar,B,73,190,20.22160665,0.255,65
Glenn Beckert,R,73,190,20.22160665,0.283,22
Bill Plummer,R,73,190,20.22160665,0.188,14
Dave May,L,70,186,20.23355301,0.251,96
Chris Knapp,R,77,195,20.24983563,0,0
Eric Soderholm,R,71,187,20.30369756,0.264,102
Jose Morales,R,71,187,20.30369756,0.287,26
Dan Driessen,L,71,187,20.30369756,0.267,153
Dick Allen,R,71,187,20.30369756,0.292,351
Jim Hickman,R,75,192,20.34505208,0.252,159
Bryan Oelkers,L,75,192,20.34505208,0,0
Rick Renick,R,72,188,20.37120869,0.221,20
Johnny Lewis,L,73,189,20.436158,0.227,22
Rich Rollins,R,70,185,20.45288532,0.269,77
Vic Correll,R,70,185,20.45288532,0.229,29
Chuck Harrison,R,70,185,20.45288532,0.238,17
Norm Miller,L,70,185,20.45288532,0.238,24
Jerry Grote,R,70,185,20.45288532,0.252,39
Ron Cey,R,70,185,20.45288532,0.261,316
Steve Nicosia,R,70,185,20.45288532,0.248,11
Tommie Reynolds,R,74,190,20.49861496,0.226,12
Byron Browne,R,74,190,20.49861496,0.236,30
Nate Colbert,R,74,190,20.49861496,0.243,173
Phil Roof,R,74,190,20.49861496,0.215,43
Mark Brown,B,74,190,20.49861496,0,0
Bobby Brown,B,74,190,20.49861496,0.245,26
Rusty Staub,L,74,190,20.49861496,0.279,292
Art Howe,R,74,190,20.49861496,0.26,43
Jesus Alou,R,74,190,20.49861496,0.28,32
Dave Duncan,R,74,190,20.49861496,0.214,109
Bake McBride,L,74,190,20.49861496,0.299,63
Steve Henderson,R,74,190,20.49861496,0.28,68
Jack Hiatt,R,74,190,20.49861496,0.251,22
Jerry May,R,74,190,20.49861496,0.234,15
Tom Klawitter,R,74,190,20.49861496,0,0
Mike Overy,R,74,190,20.49861496,0,0
Len Matuszek,L,74,190,20.49861496,0.234,30
Jim Maloney,L,74,190,20.49861496,0.201,7
Rickey Keeton,R,74,190,20.49861496,0,0
Ted Uhlaender,L,74,190,20.49861496,0.263,36
Doug DeCinces,R,74,190,20.49861496,0.259,237
Bobby Darwin,R,74,190,20.49861496,0.251,83
Dennis DeBarr,L,74,190,20.49861496,0,0
Rick Lysander,R,74,190,20.49861496,0,0
Tom Grieve,R,74,190,20.49861496,0.249,65
John Hoover,R,74,190,20.49861496,0,0
Tom Dozier,R,74,190,20.49861496,0,0
Jim Beauchamp,R,74,190,20.49861496,0.231,14
Pete Mackanin,R,74,190,20.49861496,0.226,30
Ken Harrelson,R,74,190,20.49861496,0.239,131
Buck Rodgers,B,74,190,20.49861496,0.232,31
Duffy Dyer,R,72,187,20.58966513,0.221,30
Gary Gray,R,72,187,20.58966513,0.24,24
Jody Davis,R,76,192,20.61631944,0.245,127
Mike Hegan,L,73,188,20.65414215,0.242,53
Sam Bowens,R,73,188,20.65414215,0.223,45
Bill Robinson,R,74,189,20.71610537,0.258,166
Frank Tepedino,L,71,185,20.74506939,0.241,6
Jerry Buchek,R,71,185,20.74506939,0.22,22
Bo Diaz,R,71,185,20.74506939,0.255,87
Jim Ray Hart,R,71,185,20.74506939,0.278,170
Junior Moore,R,71,185,20.74506939,0.264,7
Rick Bosetti,R,71,185,20.74506939,0.25,17
Tom Makowski,R,71,185,20.74506939,0,0
Joe Pactwa,L,71,185,20.74506939,0,0
Gary Allenson,R,71,185,20.74506939,0.221,19
Gary Ignasiak,R,71,185,20.74506939,0,0
Billy North,B,71,185,20.74506939,0.261,20
Rich McKinney,R,71,185,20.74506939,0.225,20
Jim Gosger,L,71,185,20.74506939,0.226,30
Chico Escarrega,R,71,185,20.74506939,0,0
Frank Eufemia,R,71,185,20.74506939,0,0
Max Alvis,R,71,185,20.74506939,0.247,111
Ralph Garr,L,71,185,20.74506939,0.306,75
Bob Brower,R,71,185,20.74506939,0.242,17
Mike Squires,L,71,185,20.74506939,0.26,6
Dave McNally,R,71,185,20.74506939,0.133,9
Ellie Rodriguez,R,71,185,20.74506939,0.245,16
Dick Ruthven,R,75,190,20.77562327,0.183,1
Ken McMullen,R,75,190,20.77562327,0.248,156
Cito Gaston,R,75,190,20.77562327,0.256,91
Larry Parrish,R,75,190,20.77562327,0.263,256
Joe Skalski,R,75,190,20.77562327,0,0
Jim Northrup,L,75,190,20.77562327,0.267,153
Dick Davis,R,75,190,20.77562327,0.265,27
Roger Weaver,R,75,190,20.77562327,0,0
Tommie Aaron,R,75,190,20.77562327,0.229,13
Jim Gideon,R,75,190,20.77562327,0,0
Roger Repoz,L,75,190,20.77562327,0.224,82
Larry Anderson,R,75,190,20.77562327,0,0
Al Woods,L,75,190,20.77562327,0.271,35
John Hobbs,R,75,190,20.77562327,0,0
Barry Bonnell,R,75,190,20.77562327,0.272,56
Larry Herndon,R,75,190,20.77562327,0.274,107
Sonny Siebert,R,75,190,20.77562327,0.173,12
Roger Slagle,R,75,190,20.77562327,0,0
Fred Howard,R,75,190,20.77562327,0,0
Jim Lewis,R,75,190,20.77562327,0,0
Ron Hunt,R,72,186,20.81165453,0.273,39
Jim Nettles,L,72,186,20.81165453,0.22,16
John Vukovich,R,73,187,20.8756327,0.161,6
Bobby Wine,R,73,187,20.8756327,0.215,30
Willie Stargell,L,74,188,20.9370756,0.282,475
Darrel Chaney,B,74,188,20.9370756,0.217,14
Jim French,L,68,180,20.98765432,0.196,5
Fritz Peterson,B,72,185,21.03725347,0.159,2
John Stearns,R,72,185,21.03725347,0.26,46
Joe Lovitto,B,72,185,21.03725347,0.216,4
Willie Norwood,R,72,185,21.03725347,0.242,18
Joel McKeon,L,72,185,21.03725347,0,0
Chris Brown,R,72,185,21.03725347,0.269,38
Mike Champion,R,72,185,21.03725347,0.229,2
Ron Pruitt,R,72,185,21.03725347,0.269,12
Duane Walker,L,72,185,21.03725347,0.229,24
Joe Keough,L,72,185,21.03725347,0.246,9
Frank Fernandez,R,72,185,21.03725347,0.199,39
Ray Webster,L,72,185,21.03725347,0.244,17
Juan Marichal,R,72,185,21.03725347,0.165,4
John Milner,L,72,185,21.03725347,0.249,131
Bill Buckner,L,72,185,21.03725347,0.289,174
Willie Upshaw,L,72,185,21.03725347,0.262,123
Ken Retzer,L,72,185,21.03725347,0.264,14
Luis Aponte,R,72,185,21.03725347,0,0
Cleon Jones,R,72,185,21.03725347,0.281,93
Bob Davidson,R,72,185,21.03725347,0,0
Rich Wortham,R,72,185,21.03725347,0,0
Phil Bradley,R,72,185,21.03725347,0.286,78
Rob Andrews,R,72,185,21.03725347,0.251,3
Steve Ontiveros,B,72,185,21.03725347,0.274,24
Roy Foster,R,72,185,21.03725347,0.253,45
Denis Menke,R,72,185,21.03725347,0.25,101
Gary Sutherland,R,72,185,21.03725347,0.243,24
John Kennedy,R,72,185,21.03725347,0.225,32
Albert Williams,R,76,190,21.05263158,0,0
Dave Ford,R,76,190,21.05263158,0,0
T.R. Bryden,R,76,190,21.05263158,0,0
Mike Darr,R,76,190,21.05263158,0,0
Karl Best,R,76,190,21.05263158,0,0
Keith Macwhorter,R,76,190,21.05263158,0,0
Alan Wirth,R,76,190,21.05263158,0,0
Rich Yett,R,74,187,21.16160027,0,0
Bob Coluccio,R,71,183,21.20099137,0.22,26
Darrell Brown,B,72,184,21.26654064,0.274,1
Jerry Turner,L,69,180,21.2962963,0.257,45
John LaRose,L,73,185,21.32943755,0,0
Gil Patterson,R,73,185,21.32943755,0,0
Syd O'Brien,R,73,185,21.32943755,0.23,24
Tom Satriano,L,73,185,21.32943755,0.225,21
Randy Scarbery,B,73,185,21.32943755,0,0
Benny Ayala,R,73,185,21.32943755,0.251,38
Dan Ford,R,73,185,21.32943755,0.27,121
Joe Niekro,R,73,185,21.32943755,0.156,1
Denny McLain,R,73,185,21.32943755,0.133,1
Manny Jimenez,L,73,185,21.32943755,0.272,26
